#
# Graph: facebook_combined.txt -> facebook_combined facebook_combined. A=0.001, K=1000-1.5-100M, Cvr=100, SzFrc=0.001 G(3698, 85963) (Mon Sep 29 19:06:52 2025)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (3698, 85963)
984	0.00323206
994	0.00309439
1004	0.00306214
1009	0.00313508
1022	0.00281538
1033	0.00234738
1037	0.0023464
1048	0.0028053
1066	0.00161993
1068	0.00206467
1080	0.00348226
1090	0.00603842
1101	0.00920236
1113	0.0111662
1123	0.0134126
1144	0.0126948
1156	0.0125467
1167	0.011069
1168	0.0109503
1191	0.00947448
1203	0.00852642
1215	0.00819081
1222	0.00789824
1228	0.00783148
1247	0.00767556
1264	0.00734854
1277	0.00531413
1284	0.00483972
1296	0.00459514
1310	0.00449896
1323	0.00413583
1330	0.00427364
1343	0.00471443
1357	0.00524724
1370	0.00680084
1384	0.00766307
1397	0.00992033
1414	0.0130772
1430	0.0137011
1440	0.0143005
1467	0.0143981
1482	0.0133337
1497	0.0109578
1512	0.0084747
1527	0.0081901
1530	0.00816009
1544	0.00852289
1559	0.00956965
1576	0.00989367
1591	0.0106947
1621	0.0110762
1627	0.0109627
1654	0.0108711
1670	0.00985036
1686	0.00836027
1689	0.0082739
1721	0.00824317
1722	0.00804765
1745	0.0092396
1759	0.00923483
1785	0.00893394
1809	0.00905205
1825	0.00773916
1830	0.00784938
1864	0.00646141
1874	0.00337013
1883	0.00363106
1903	0.00502619
1921	0.00715665
1940	0.0107111
1960	0.0151843
1990	0.0159057
1999	0.0162469
2019	0.0202524
2040	0.0234313
2060	0.0249574
2083	0.0263557
2102	0.0274887
2142	0.0313035
2143	0.0312944
2182	0.0319781
2188	0.0320527
2229	0.0321396
2237	0.0321454
