#
# Graph: facebook_combined.txt -> facebook_combined facebook_combined. A=0.001, K=1000-1.5-100M, Cvr=1000, SzFrc=0.001 G(3698, 85963) (Mon Sep 29 17:15:58 2025)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (3698, 85963)
986	0.00282656
987	0.00285637
1001	0.00300327
1010	0.00269954
1026	0.00225984
1027	0.00231949
1046	0.00271439
1057	0.00150277
1064	0.0012787
1068	0.00167863
1079	0.00261035
1090	0.00434988
1101	0.00724787
1112	0.00873436
1123	0.0115779
1134	0.0115364
1150	0.0114811
1167	0.0112499
1170	0.0112228
1191	0.0108161
1203	0.00840066
1215	0.00797086
1226	0.00727546
1237	0.00714126
1241	0.00693318
1264	0.00729812
1277	0.00543264
1290	0.00501517
1296	0.00459514
1315	0.00455155
1323	0.00413583
1330	0.0043518
1343	0.00468337
1356	0.00514151
1370	0.00639199
1384	0.00749368
1397	0.00965151
1413	0.0111601
1428	0.0112694
1453	0.0112108
1455	0.0114037
1470	0.0116722
1486	0.0123952
1498	0.0131215
1513	0.0156598
1529	0.0163846
1544	0.0171742
1560	0.0180194
1589	0.0323117
1596	0.029821
1606	0.0324289
1636	0.0325264
1654	0.0315994
1661	0.030402
1673	0.0317784
1704	0.0536064
1721	0.0532651
1738	0.0524965
1750	0.0513479
1761	0.0512685
1791	0.0513614
1808	0.0509344
1827	0.048995
1845	0.0247227
1864	0.00344759
1872	0.00323943
1883	0.00361776
1902	0.0049876
1921	0.00752215
1940	0.0094057
1960	0.0131873
1979	0.0247365
1999	0.0262029
2020	0.0274423
2052	0.0299121
2064	0.0302047
2087	0.0302955
2106	0.0316355
2127	0.0320464
2163	0.0330887
2178	0.0331193
2193	0.0330402
2225	0.0365503
2243	0.0364254
2266	0.0379546
2275	0.0381885
