size,conductance,row_index,cluster_size,cluster_nodes
151.0,0.05968425105891413,3150,151,7800 7552 16733 1523 4199 6439 828 4348 11256 11937 14845 6475 13210 7281 2864 6527 11137 19525 15273 10628 12774 9034 3241 7355 3885 20162 4118 5082 9641 12033 3408 18042 18713 1954 13922 5229 14831 18174 14016 8795 11850 18869 4401 1517 19964 5589 18167 410 19268 19081 13140 3852 5198 15416 7495 21236 10600 297 11329 6147 7919 10699 558 9198 12870 3103 15747 17591 2319 13733 5858 2872 4751 6105 9996 20037 18879 4917 5165 4031 9567 8062 7288 7606 6706 7978 4527 3981 5010 2532 5525 4077 21324 44 568 21087 20889 21681 21274 18624 16105 13074 18539 18235 12745 11473 13408 16103 18638 20168 6398 5317 3074 2160 11349 14703 18920 17563 12025 839 9813 1402 13865 1618 19621 12192 20516 17285 11248 17589 19127 7228 79 20335 13675 12514 11173 10974 20786 1126 101 3163 19026 5850 3794 21169 11404 6560 19156 6242 9194
174.0,0.0641025641025641,29834,174,20684 11088 17603 20899 18421 20855 4517 15835 1291 20736 9752 11015 6099 4443 14229 21365 2603 21020 19127 1905 2485 19274 21004 7531 17173 11060 11588 3577 7928 8192 1852 3945 9497 3616 2262 9161 17577 3358 3660 1305 18794 9395 17806 8094 4979 18228 11047 17015 7070 5240 21585 893 1608 21520 7571 16696 10600 10023 11987 8493 16130 21653 15366 22434 2125 19183 9891 22382 15480 17551 19268 14016 11137 13922 12774 3885 44 21681 4077 21274 568 18624 7355 4527 9034 16105 3981 13074 13408 18539 18235 21324 7288 7978 21087 12745 20889 5165 11473 18638 20168 2160 5010 9996 5525 9567 18869 8062 3241 7606 2532 6706 20037 5589 14703 9813 4401 12025 19964 5317 20162 4118 6398 3855 3103 839 15416 8795 5082 3074 17591 19621 11850 11349 9641 18167 16103 4031 1517 21236 4917 11248 13140 4751 7758 1126 2864 6147 5177 19525 5858 7919 2872 20516 4588 3852 12870 410 12754 2630 4143 1618 5229 9194 14831 21790 101 4438 22232 5190 13124 4811 11329 14421
175.0,0.06433677521842732,12563,175,9967 12021 7401 9564 17447 470 9739 7254 20717 5284 16553 5245 14059 20957 20712 12804 3997 11674 8373 8996 4800 13516 1416 4130 4472 12979 9473 217 12966 19132 10226 14297 16298 15287 8741 18102 2408 15844 427 17193 11299 11146 8457 1948 22036 15634 15322 3352 5332 18104 21441 12528 12266 17913 7954 1117 11893 5125 20111 1326 2989 18938 12821 1555 4181 220 12122 18944 8711 8196 3032 7064 6502 15457 801 8407 6005 5596 14861 18554 21842 1371 11395 12320 14430 15143 16667 18358 10801 16697 20450 1396 12309 10734 8888 20590 3414 1509 19012 9054 13500 6139 11830 8774 19309 12239 20101 1171 21958 17888 617 6520 20001 13572 13069 5504 9000 12508 20552 13385 10358 8571 19811 2540 1664 14630 13433 4120 6159 10508 11290 21015 21526 16241 20635 21429 11407 9820 15728 15635 19171 16237 19669 5795 11675 11026 13305 1616 3682 6803 21734 3406 12959 180 18166 18156 14187 13779 14910 14230 19141 17294 4256 8319 20670 10428 1427 15038 15320 14848 5489 8666 21620 17358 20275
203.0,0.03165584415584415,38924,203,4679 17085 2876 2606 5712 13118 18804 4240 14304 18402 6424 3369 18028 14617 14942 16335 15929 8447 9558 16065 9136 19279 1020 21668 20300 186 16121 1120 20152 17151 13656 3011 19933 19370 17707 15605 12262 20686 12589 16411 17712 21376 10722 9746 5983 15873 10243 7375 15284 20990 4208 20490 4824 5801 13951 10329 2620 13760 20396 5303 4335 14007 9268 13065 3953 6269 13919 19037 15060 12712 19457 3961 19029 17412 11958 2739 8650 14933 9357 800 2869 2357 1231 11108 17901 13142 18595 2936 1203 6923 8630 2868 3108 22380 2352 5524 16191 22321 15145 3718 40 22066 14147 13045 13043 4089 20820 18295 11339 10497 14958 1168 1199 8955 11310 10981 15822 3915 1136 18384 768 13056 12062 886 19197 11223 10581 5000 17920 827 20045 17550 5970 3314 14755 21133 10174 10630 20883 639 13963 11040 14810 5559 5196 15717 103 11603 8521 14649 16657 8554 9376 20666 6981 9877 17262 260 1379 2917 19449 11141 6647 11983 11779 17187 17661 14263 13171 8297 14494 4892 13456 12733 17974 1693 15787 266 9436 5301 3291 4491 12890 20533 11874 2182 16782 3389 7479 4105 1637 6458 4526 19246 4007 12938 18659 21502 2308 20965 18509 19962 8202
224.0,0.02785406041584935,40811,224,6519 1355 10910 235 14453 11309 12543 3389 266 18509 18659 12938 16782 17262 11040 7479 20533 21065 137 11779 17974 2917 9877 21765 3039 13143 208 5559 3929 12582 10811 1379 11983 6458 4007 10791 18202 867 2308 19962 8202 4041 1567 1693 8955 5301 12890 22380 11141 3961 11958 827 14263 4892 3915 11223 6647 14147 19246 10497 10630 7501 20152 10174 8521 9376 2869 9357 12733 2352 2739 13456 20666 20820 22066 22321 17412 21709 14810 5000 19449 768 186 13045 1199 14958 17187 21965 4089 3718 13065 2357 16657 2868 1994 10981 13963 14755 40 1168 13056 17901 886 3314 10581 5970 16683 21959 1203 5524 12062 20883 17550 13043 19933 3108 21133 8630 8650 16191 20045 1136 15822 18295 20300 6923 11108 15145 19197 12589 15717 17920 2936 1020 11339 8297 13656 4105 13142 7375 9436 10467 11310 10329 260 10243 20990 20396 18595 16335 17119 5196 6424 20490 103 14007 13919 800 12262 18402 15873 19457 17707 2620 16121 1120 17151 19037 3369 5801 14942 4824 15929 5712 9558 21668 5303 18028 21376 10722 9746 17712 16065 15060 5983 13951 15605 6269 13760 18804 1231 8554 15284 19370 16411 4335 3953 20686 4208 9136 14617 12712 3011 4240 639 19279 14304 19029 9268 8447 14494 14649 17661 2752 13531 13118 11603 2606 2182 18384 17711 4679 1637 13171
239.0,0.025484975275770254,20842,239,20152 9357 639 4491 17412 40 14649 5712 2357 17262 4089 1203 22321 13045 11310 20883 19197 20300 3718 17920 11040 6923 16191 22066 266 13056 5970 3314 10497 11339 12062 14958 1199 20045 8955 5000 8650 2868 3108 8630 827 11223 5524 768 17901 10581 1136 13963 16657 11108 14147 10981 14494 21133 15145 2869 15717 15822 886 10630 13043 5196 17550 3389 103 10174 12589 3915 1168 20820 20990 2936 18295 13142 14810 10243 22380 2606 14755 260 2182 6424 13118 18402 18595 11779 13656 1637 8363 9376 7375 1020 4679 19449 17187 10329 186 19933 17085 15787 20490 2876 18804 3369 5130 17793 10910 1379 1231 4240 11141 6434 19037 11983 14304 11267 2620 5801 6269 14942 8447 10073 4208 4868 5303 18028 17707 21668 11603 5328 1355 15929 3367 5983 14617 9746 17712 10722 21376 4824 13065 20666 14007 16065 235 17661 8297 12890 15284 13760 9558 20396 16411 1120 6519 5559 20686 8521 19370 800 19457 9136 3953 15873 13919 16121 11958 13171 3011 4335 15605 17151 15060 12262 6647 13951 19029 9268 19279 16860 12712 3961 645 9877 14263 2739 1871 18384 15527 2352 16335 17974 2917 1693 3291 1543 7479 7329 5301 4892 9890 11309 16782 13284 12543 15838 14933 8554 20533 21870 20964 18659 7039 12938 13456 18509 4105 16953 14453 4526 19459 11874 12733 21332 7662 9027 6981 9436 13143 20965 6458 4007 3929 12582 10811 2308 19246 19962 8202
254.0,0.0268857356235997,46981,254,18659 7479 12938 16782 18509 20533 11309 12543 1379 11983 17974 9877 2917 235 6519 13143 2308 19962 8202 3929 12582 10811 1355 5559 10910 14453 9376 11958 17187 19449 4892 6647 21065 6458 137 2739 4007 3389 21765 3039 13065 2352 12262 266 15873 14810 800 20396 208 16121 15060 3961 19457 13951 17550 17151 18202 5303 4335 1120 186 15284 17707 20686 10329 16411 15605 16065 13760 20490 19933 19279 8554 17712 10722 9746 21376 4824 3953 6269 9558 12712 10791 3011 19370 13919 14007 15929 10467 5983 867 19029 9136 11040 19037 8447 21668 14617 9436 17262 14304 2620 9268 4041 19246 1567 5801 18028 3369 14942 15717 13456 4208 12890 18384 1020 18804 1693 13656 12733 4240 16335 5301 2752 13531 7375 11779 260 6424 768 14933 8650 8521 14263 8297 17901 17412 10581 13142 5524 11141 20666 22380 11223 20820 16657 21133 3915 18402 12062 5970 1231 12589 14147 7501 15822 17711 10497 13963 14755 20990 3314 13118 19197 827 1168 10174 3108 6923 1136 2869 2868 11603 5000 13043 22066 14958 10243 1199 20152 11339 20045 2606 20883 2357 2936 21709 5712 11108 886 40 4089 13056 20300 18595 17920 16191 8630 8955 18295 22321 10630 1203 3718 9357 10981 13045 15145 4105 17119 11310 103 5196 21965 17661 16683 1994 21959 4679 3291 6981 11874 639 4526 14649 17085 12875 2876 14494 13171 22217 15787 21539 20965 2182 12545 3309 21502 6235 13878 1637 21508 20503 3572 20428 12345 2692 4491 4076 3437 17497 4538 18785 5667
294.0,0.02246802627030764,10372,294,40 19197 12062 10581 10497 17412 260 20152 2357 14810 11310 5970 3314 4089 20045 9357 14494 1203 22321 8650 768 1199 13056 22066 16191 20300 13043 15822 5000 827 13963 17920 11223 17901 3718 1136 5524 3108 20883 2868 11339 8630 18595 14958 6923 17550 103 3915 16657 15717 10981 2182 1168 11040 13045 2869 8955 21133 15145 20990 14147 1637 886 12589 11108 22380 2936 18295 10174 9376 10243 10630 5196 20820 13142 17262 14755 19449 17187 639 5712 18402 8297 6424 14649 7375 13656 266 1020 11779 3389 1379 186 4491 13118 2606 11983 19933 11141 10329 3369 18804 1231 4240 4679 18028 2620 5801 14942 20490 13171 12890 10910 4208 5559 8447 17085 17661 19037 20666 21668 15929 11603 14304 14007 2876 14617 16065 6269 1355 17707 5983 235 4824 13065 8521 9558 1120 8363 20396 5303 9746 10722 21376 17712 6519 19370 6647 13760 9136 15605 11958 15873 19457 16411 800 15284 16121 17151 20686 3953 15060 13919 4335 12262 9877 15787 3011 9268 16335 13951 19029 19279 12712 3961 17974 7479 14263 2917 2352 16782 5130 17793 2739 3291 11309 1693 6434 12543 5301 4892 18659 11267 12733 10073 20533 12938 3367 18509 18384 4868 5328 13456 14933 8554 13143 645 16860 4526 1871 4105 14453 3929 12582 10811 1543 9890 7329 6458 18695 11874 13284 9436 4007 6981 15838 15527 21870 20964 7039 10382 19246 16953 19459 10563 20965 12875 2308 21332 9027 7662 8202 19962 18202 22217 12545 6235 3039 3309 3572 20503 21065 10791 18785 13878 137 17119 10467 20428 19570 4041 21502 1567 4076 4538 2692 12345 3437 2752 13531 5770 3267 17711 21539 21765 17497 867 668 5667 441 12741 8520 6148 11563 18572 11284 798 1268 8887 10958 2677 21709 16132 8227
318.0,0.020174848688634835,3159,318,10174 9357 17262 22321 266 11310 3718 3389 14494 3314 5970 5000 14958 8955 3108 12062 20045 10497 17901 2182 827 1136 768 13963 103 11223 11108 8630 1637 10581 14147 19197 886 21133 40 13043 11779 15717 10981 12589 2869 15822 4089 13056 11339 16657 20152 10243 20883 16191 2357 5524 18295 1203 3915 2936 1199 1168 15145 17920 20990 22066 14810 8650 13142 6923 20820 13045 20300 2868 17412 11040 22380 14755 7375 17550 10630 18595 260 1020 5196 9376 6424 13656 18402 10329 186 17187 19449 10910 19933 5712 639 3369 19037 1231 14649 18804 1379 5801 4240 11141 22217 13118 2620 1355 14942 2606 11983 4208 17707 21668 18028 10722 21376 9746 17712 20490 12890 4824 11603 15929 13171 14007 20666 14304 16065 5983 4679 235 8447 17661 20396 9558 13065 14617 19370 8521 8297 6519 5559 6269 13760 1120 800 15284 9136 5303 3011 16411 15873 3953 13919 19457 16121 17151 9268 12262 13951 15605 20686 11958 15060 19029 4335 17085 12712 6647 4491 19279 3961 9877 2876 14263 16335 2352 2739 17974 2917 3291 7479 1693 18384 11309 5301 16782 15787 12543 8363 4892 18659 14933 20533 18509 12938 13456 4526 8554 14453 12733 13143 18695 4105 5130 17793 3929 12582 10811 6458 6434 11874 6981 9436 10382 4007 11267 3367 10073 10563 5328 4868 645 19246 10791 3309 1871 16860 20503 3572 12875 9890 1543 20965 7329 18202 13284 18785 2308 15838 19570 19962 8202 21870 20964 17119 7039 15527 16953 19459 3267 3039 12545 4076 6235 1567 4538 21332 10467 9027 7662 4041 21065 137 13878 20428 21502 13531 2752 17711 11563 8520 6148 441 18572 11284 2692 798 3437 8887 2677 12345 16132 8227 7727 18478 867 21765 21539 17497 5770 668 5667 21709 12741 12795 1268 1423 10958 16137 13349 3557 357 4704 12194 265 7501 7334 261 8949 21965 1994 21959 16683 3122 9947 3202 6403 208
325.0,0.01833944648216072,28101,325,1231 17661 12875 20428 13878 17497 5667 2692 3437 20965 668 12741 1268 6981 10958 7501 20820 1020 14755 21965 1994 21959 16683 14933 11563 20666 2352 13656 8521 8520 11284 7375 798 639 6148 2357 8887 5801 14649 9376 18572 4208 2620 441 15717 6235 3369 1203 2677 22321 2868 7727 8650 19449 17187 13045 14942 5524 22066 3718 11040 14147 768 10497 13056 17920 14958 16191 11339 18028 22380 13142 5970 1199 3314 5000 16657 18804 3267 8955 17901 14810 3108 12062 11108 6424 3915 14263 10581 8630 20045 1136 827 4240 18478 12589 11223 13963 20300 10174 15822 2869 18295 13043 1168 10981 4089 20883 21133 40 10630 17550 19197 20990 886 10243 16132 20152 8227 6923 11603 15145 18595 2936 103 186 9357 11310 17412 20396 19933 10329 20490 260 14617 21668 19037 18402 13171 3953 1379 15929 5712 18695 11141 5196 9268 9558 19029 11983 2606 16065 17262 11779 5559 1120 12795 2917 13065 6269 22217 9136 5983 6458 17707 19370 16121 17711 4824 15605 1423 5303 16335 16411 20686 15060 4007 14494 21376 9746 17712 10722 14007 15873 13118 15284 13919 17151 8447 13760 14304 19279 10382 12262 4335 1693 3011 4105 11958 13951 13349 19457 3961 10467 10563 12712 266 800 5301 2752 12545 13531 16137 4679 12890 8297 3557 4704 357 3389 2182 265 9877 12194 3291 1637 17974 7334 2739 17085 15787 8949 13456 7479 235 4491 261 2876 11874 16782 10910 8363 12733 6519 1355 6647 3122 8554 9947 20533 3202 10791 18659 18384 11309 6403 4134 12938 1567 9436 18509 4041 12543 19246 12345 14453 4892 18202 9584 17793 5130 21065 3039 13143 137 7743 6434 4526 2791 17119 15588 10073 3367 11267 12582 3929 5328 10811 4868 645 1871 3309 16860 20503 3572 1543 9890 7329 13284 18785 10160 963 15838 19570 21870 20964 2308 15527 7039 21709 19962 8202 21765 16953 19459 867 21502 21332 9027 7662 21539 4076 4538 19435 208
352.0,0.029604238080398877,26019,352,20965 6235 12545 12875 12345 668 12741 6836 1268 20428 10958 13878 11874 17497 7294 2692 5667 3437 17661 6981 1231 7501 21965 1994 21959 16683 20820 14755 13618 14933 3639 11563 2352 8520 11284 798 11603 6148 8887 18572 441 2677 7727 639 2212 2357 14649 2620 11108 15717 9376 3267 18478 1203 22321 16132 8227 14942 17187 19449 13045 2868 13142 186 8955 3718 17920 13056 22066 11040 8650 16657 20666 3314 16191 5801 18595 5970 1199 14958 14147 5524 7375 19933 3108 10497 5000 6424 17901 14810 1020 10581 11339 12062 20045 22380 768 18295 8630 4208 1136 827 3915 15822 11223 1168 12589 13963 12795 13656 2869 10174 21133 10981 4089 20883 13043 17550 6923 19197 40 20990 3953 886 17412 10243 18695 20152 1423 21668 2936 10630 20300 15145 103 17711 9357 11310 19029 10329 13171 22217 19037 9268 13349 18804 260 9558 2917 1379 6458 3369 19370 20490 16137 18402 5196 15929 4240 4824 20396 9136 10382 5983 11983 4007 5712 16121 1120 19279 5303 4704 3557 357 10467 17707 13531 2752 265 16065 18028 20686 6269 10563 17262 8521 16411 13065 8554 17151 15605 15060 12194 12712 15284 3011 12262 14007 9746 10722 21376 17712 14617 7334 13760 15873 1217 14843 4335 19457 13951 5559 13919 11779 11958 14304 11141 8447 14494 2606 3961 12890 13118 800 8949 261 8297 266 9877 3122 16335 9436 14263 3389 9947 2182 4679 2739 3202 13456 4134 6403 1637 17974 19461 12733 19246 15787 1693 7479 10791 16782 235 13328 1567 4491 8363 10910 5301 17085 4041 6519 6647 1355 2876 9584 20533 18384 18202 4105 18659 11309 3291 12938 14453 7743 18509 12543 2791 4892 3039 21065 15588 137 13143 17119 17793 5130 21502 6434 19897 12582 3929 4526 10811 10073 3367 11267 5328 4868 10160 645 963 21618 1871 3309 16836 16860 20503 3572 1543 9890 21709 7329 867 13284 18785 21765 15838 2308 19570 15527 21870 20964 19962 8202 7039 16953 19459 21332 9027 7662 7300 4076 4538 19435 21539 12635 208 9900 9437 8208 5202 2215 20897 16218 10733 9904 10272 13011 16646 18183
