size,conductance,row_index,cluster_size,cluster_nodes
99.0,0.04590899816364007,2553,99,19268 19525 14016 4031 12774 5165 13408 7288 13074 18624 44 3885 7978 5010 21681 18235 16105 21274 11473 12745 568 4077 5525 9996 18539 9567 6706 3981 8062 20889 7606 4527 21087 21324 4917 18638 20168 7355 9034 4401 13922 5589 6147 3241 2160 3103 20037 2532 5317 14703 6398 12025 19964 4118 8795 11349 839 3852 20162 9813 16103 11850 18869 17591 1517 3074 15416 9641 18167 19621 5082 410 11248 13140 21236 2864 4751 1126 5858 2872 7919 19127 12870 11137 20516 1618 9194 10974 7228 79 20335 13675 12514 11173 101 11329 19026 5229 14831
106.0,0.03412749517063748,14238,106,20947 12343 12125 15559 7275 12159 10682 6978 21080 3248 4957 13772 3858 8733 2322 19804 16947 3345 19087 780 19546 9575 4030 6718 19420 16817 1864 18137 6227 12096 2635 16428 4222 18642 3826 14178 20514 8267 21894 7388 12334 9459 6314 3442 10384 16616 15937 21696 12097 15879 4723 12767 17063 14212 1455 12184 1057 7563 13740 7851 14161 22011 14812 20032 18533 13876 5615 15241 14122 9861 13150 833 22132 4215 21591 13182 10081 21680 8321 8645 14762 9317 4359 4961 18596 16347 19417 6182 1358 5845 8116 11670 853 21047 17341 12620 10546 20058 6876 11361 5420 12957 16875 21195 14312 8703
110.0,0.046203294495781436,3412,110,20162 2864 3852 12774 7355 9034 3241 14016 13922 3885 4118 18869 5082 410 21236 15416 9641 6147 19268 19525 3103 12870 8795 11850 1517 11137 17591 18167 13140 11173 10974 7228 79 20335 13675 12514 4751 101 7919 19127 5858 20516 2872 9996 20037 19026 19964 21324 21087 20889 9567 8062 7606 6706 4527 3981 13408 5165 7288 7978 5010 4031 5525 44 4077 18624 568 21681 21274 16103 16105 13074 18539 18235 12745 11473 3074 4401 5589 18638 20168 2532 4917 11349 14703 2160 5317 12025 6398 9813 839 19621 11248 1618 1126 7800 11329 9194 21609 17520 18313 4705 19461 13328 5229 14831 1305 20684 18794 787
126.0,0.04750733137829912,16264,126,5082 11137 5858 8665 18869 13922 3241 21236 7355 9034 20162 4118 15416 9641 410 3213 11329 101 12774 2864 3852 19525 3885 14016 8795 18167 17591 19268 13140 11850 1517 4751 12514 11173 10974 7228 7919 79 20335 13675 19127 20516 6147 3103 7800 16080 1618 2872 19026 14586 12870 21609 2650 9996 17520 5165 4401 16103 13408 3074 21324 21087 4031 20889 16364 20168 4917 18539 19964 18235 12745 11473 9567 18638 8062 2532 7606 20037 6706 5525 4527 4077 21681 3981 14703 12025 21274 568 6398 16105 13074 5317 7978 5010 18624 44 7288 5589 11349 2160 8522 839 9813 19621 11248 11437 19502 1126 7959 5251 14595 787 17002 15169 20201 19524 9194 19461 15009 13328 18313 16732 3854 20684 18055 5229
144.0,0.05463639861485187,6394,144,5858 16130 22018 12068 11137 5082 13922 21236 10600 3241 15416 9641 11329 101 10038 8757 3759 20088 18930 4801 1115 19064 576 1009 9230 1177 18869 8795 8991 10389 17591 18167 13140 9034 3852 7355 4751 20162 4118 20588 19525 12774 7919 2864 410 6770 3475 3885 20516 19268 14016 7758 1618 1966 5177 11850 1517 3103 2872 6147 7537 19127 9996 2854 787 12870 3074 6706 4527 18539 18235 3981 12745 18638 11473 5525 4077 21681 19964 20037 568 21274 16105 13074 7978 5010 4031 14703 5589 18624 44 7288 4401 6398 5165 4917 16103 13408 2160 21324 21087 20889 9567 8062 10813 7606 20168 12025 2532 5317 839 9813 19621 11248 11349 17279 1126 8665 19089 1812 7800 19461 1558 7228 79 20335 13675 12514 11173 13328 17738 10974 9194 21609 747 18055 11357 17861 17520 11375 8074 19026 12685 5229
151.0,0.05970149253731343,5417,151,13328 19461 6836 4716 4237 21236 13618 3639 4338 6398 20965 19621 15681 18342 11935 17915 6885 13231 776 15197 13051 529 14337 8592 7686 4524 19026 7597 9190 11349 21618 16836 11137 4031 16103 4077 5165 13408 44 21681 18624 21274 568 4527 16105 13074 3981 18539 7288 18235 21324 7978 12745 11473 21087 20889 5010 18638 5525 20168 9567 8062 7606 6706 4917 9996 2532 4401 8795 13922 5589 7919 2160 7355 9034 17591 3852 12025 11850 20037 3074 3241 14703 3103 19964 5317 1517 410 9813 839 20162 4118 14016 18167 7228 79 18869 20335 13675 12514 11173 10974 13140 3885 15416 5082 4751 9641 2872 11248 19662 9194 20516 19268 6147 2864 12774 19525 5858 1126 4091 19127 21283 18936 12870 1537 7300 10232 1618 1686 18313 10248 5229 381 101 14831 9437 8208 5202 2215 20897 16218 10733 9900 9904 17681 11329 10272 13011 16646 18183
174.0,0.06853281853281853,2856,174,17475 1008 20063 8359 1850 7992 9462 5369 283 2134 7156 2681 14672 3869 6653 15834 502 9033 13667 2131 17158 18648 22198 14239 3850 17893 18189 18433 11887 13625 2019 17127 5917 10894 12820 5835 7538 3310 6359 3189 19873 14030 15125 6533 1150 556 13133 3610 5941 18141 7935 5404 2431 4344 22117 14125 11693 7400 11138 2275 8382 6256 1318 5554 4612 12637 13314 4012 8159 8822 17701 11927 20942 2469 7541 6030 4207 6292 1721 9913 19165 18880 417 12166 4519 4357 14018 11412 16610 342 14262 6546 15583 8285 5061 7239 6013 6658 11909 11695 1075 856 15686 19745 10111 8405 2307 738 7845 13838 6054 4937 5727 5678 19273 2060 10478 2723 14850 16302 4402 13321 18608 14431 873 15881 9730 9658 4255 20341 372 15268 13288 16711 4978 21786 19597 16841 7603 19715 4435 21092 2817 17992 8268 16816 21691 8448 6241 3715 460 20334 20710 10093 2758 16649 3853 19263 1739 6236 2598 1549 8739 9586 3966 6323 3661 5290 11923 11397 12729 15247 2234 1646
187.0,0.06535947712418301,4366,187,13172 8491 9608 18617 17634 8607 17494 22090 8780 16932 10024 10841 12482 4084 10953 8217 4755 16322 20521 20636 5854 18683 14281 22116 15259 6155 21463 95 10579 16514 13173 6999 15765 5664 19867 11268 9869 9566 6781 11480 12513 9045 6395 7049 8169 20706 21796 10760 16835 1965 19602 20478 17635 1357 4188 9330 593 10712 22317 17804 1401 2299 4423 11560 4232 22042 15700 9712 8419 3253 13801 22026 18942 1181 8239 19881 20027 18862 18976 19182 6186 8515 2922 17620 438 1689 13049 7196 7141 19733 7321 7914 229 18223 10654 6695 11777 1135 4108 960 1055 1499 1413 9081 3290 19220 6566 3689 17714 11316 3749 19825 13713 1186 6556 14589 17092 16762 8328 10477 8539 8783 19277 3817 4621 10271 16672 11731 17089 8138 8800 18064 14342 4398 6539 6429 11513 18690 11257 6904 8546 656 7150 9388 13394 209 12611 16126 16388 8778 13163 6464 15282 1902 22300 643 1409 18135 12393 18025 5791 16726 2899 13946 20908 22453 15337 12391 16004 581 21535 12053 3075 16214 9397 7129 1174 1151 13520 6734 7886 19105 5022 202 15154 1138 1294
205.0,0.030731904569348968,25329,205,2620 9558 9136 19037 16121 20686 16411 13951 19370 12262 4824 13919 12712 3961 15284 13760 800 5983 13065 16065 4335 17151 2739 14304 3953 14007 21668 15873 9268 5303 19029 4208 1120 20396 15605 20820 19279 2352 15060 19457 5801 14755 17707 3011 11958 15929 18384 21376 9746 10722 17712 6269 14617 8447 10329 18804 186 3369 4240 19933 20490 14942 18028 4892 5559 14933 8554 13118 6647 1020 9877 2917 11603 2606 13656 6424 17974 1231 20666 7375 17661 639 5712 13142 2357 4679 20533 18402 1379 14649 9376 22321 8521 17412 5524 1203 11983 16335 12589 20990 10174 16782 2868 22380 1693 13045 8650 14263 10243 3108 3718 20152 9436 8955 7479 18595 14147 13456 5301 1136 19449 10497 17085 9357 17187 11223 22066 16191 768 11040 6458 14958 10581 6923 11108 17920 3314 17901 13056 18295 1199 5970 17550 11339 5000 1168 20300 20045 8630 4089 3915 12062 2876 827 12938 11141 14810 4007 13043 10981 15717 2869 21133 2936 19197 18659 13963 15822 40 11310 10630 15145 886 103 16657 6981 18509 20883 11779 2308 260 5196 17262 4105 19962 8202 13143 15787 11309 19246 8297 12890 12733 12543 11874 20965 266 14494 3291 3929 12582 10811 4526 13171 3389
223.0,0.028346456692913385,10313,223,11603 21502 4208 5801 18595 3953 19029 6235 18295 14942 9558 2868 5303 9136 15929 16121 20686 19279 22380 19037 8955 19457 15284 21668 16411 11339 17707 5983 2620 3011 12262 13760 13951 14147 19370 9746 10722 21376 17712 10581 4335 13919 4824 13065 6269 3915 14617 10630 20396 15873 12712 1020 16065 14304 186 18804 17151 800 15717 14007 14933 2352 10329 1120 10174 19933 4240 12875 2739 9268 3961 15060 20820 1199 15605 3369 12589 3108 22066 1231 12545 7375 13656 11958 20490 11040 5524 20152 14958 9357 14755 1168 17661 10243 2357 8630 17901 18028 13045 11108 8650 20990 1203 13056 2869 10981 5970 6923 6424 5000 10497 3718 768 40 13142 11223 17412 12062 16191 16657 827 22321 1136 2936 20300 15145 6981 15822 20045 17920 3314 13043 20883 21133 8447 886 19197 4089 18402 13963 17550 11310 14810 5712 18384 2606 13118 9376 5559 5196 11141 1379 103 9877 20965 11874 17262 260 11983 17187 19449 12345 4679 11779 20666 639 8521 2917 8554 6647 14649 14494 20428 17974 13878 4892 266 16335 668 14263 17085 3389 1693 2692 12741 2876 7479 16782 20533 2182 5301 3437 12890 8297 1637 13456 13171 1268 10958 12938 18659 9436 6458 235 10910 18509 4007 3291 11309 6519 17497 4491 1355 13143 5667 12543 4105 15787 12733 12582 3929 10811 19246
239.0,0.02547528517110266,29664,239,13284 1543 21870 20964 7039 16860 19459 16953 7329 15838 21332 7662 9027 9890 645 1871 15787 11267 4868 3367 5328 6434 5130 17793 10073 15527 8363 4491 639 14649 8447 18402 16065 20152 10630 6424 6923 15060 20820 14755 11958 1120 5712 13118 15605 15873 15929 9357 13045 20490 2357 3369 16121 19037 2620 4335 20300 1203 15145 22321 17412 14304 40 10329 11040 2606 6269 4679 22066 17901 13065 2868 4089 8650 14007 14958 1199 16411 8630 3718 8955 5970 11108 13142 16191 5000 5524 17920 12589 10581 13056 14147 12262 19197 3314 2869 20883 20045 1136 20990 11223 9376 10497 11310 3108 11339 1168 20686 5303 5983 12062 768 13760 21133 827 15284 10243 3915 22380 13656 1020 886 4824 10981 13043 15717 13963 15822 2936 20396 17550 14810 7375 800 9558 18295 186 16657 18804 17085 17707 3953 10174 17262 3961 19449 13951 103 17187 14617 9136 18028 21668 19933 18595 19370 4240 2876 17712 9746 10722 21376 12712 19457 1379 13919 19029 5196 5801 14942 9268 11983 17151 3011 1231 19279 4208 260 2352 17661 2739 5559 14494 266 20666 11779 11603 18384 11141 3389 2182 6647 8521 9877 17974 1637 8554 2917 4892 16335 7479 20533 12890 14933 8297 14263 16782 10910 13171 235 1693 1355 6519 5301 18659 12938 13456 18509 11309 3291 4526 9436 12543 4105 6458 20965 11874 4007 12733 6981 13143 2308 14453 19246 8202 19962 12582 3929 10811
276.0,0.023605150214592276,15821,276,8447 15787 9890 13284 645 20964 21870 7039 7329 1871 1543 18402 15838 19459 16953 16065 21332 9027 7662 15060 16860 639 11958 14649 1120 15605 15873 6424 3367 15929 13118 11267 16121 4335 4868 6923 15527 20490 5328 6434 10073 17793 5130 14304 19037 3369 16411 8363 12262 13065 6269 14007 20686 4679 5712 13760 15284 5983 3961 5303 800 4824 20396 4491 2620 3953 12712 9558 17085 13951 2606 19029 2352 9136 2876 19370 10329 13919 19457 17707 14617 9268 21376 17712 9746 10722 19279 17151 2739 3011 21668 18028 18804 4240 5801 186 5559 14942 4208 19933 1379 18384 20300 11983 8554 13656 17974 1020 9877 20533 13142 15145 7375 4892 20990 13045 2917 12589 6647 14933 10243 7479 20820 17901 20152 22380 11108 8650 16335 17412 16782 2869 5524 8630 14755 10630 1136 14147 18595 9376 2357 12938 10581 2936 2868 11223 13043 1168 1203 18295 4089 18659 3108 20045 3718 22066 9357 22321 10981 15822 11339 3915 14958 16191 21133 768 11603 8955 10174 1199 10497 14810 886 13056 12062 18509 19197 1231 11310 3314 5000 17550 5970 13963 40 11040 827 15717 19449 17920 9436 17187 20883 103 16657 6458 8521 13456 20666 260 4007 5196 11141 17262 4526 11779 11309 14263 1693 12543 13143 5301 17661 14494 8297 266 6981 2308 3929 12582 12733 10811 19246 12890 13171 3389 19962 8202 2182 3291 235 1637 6519 10910 1355 11874 4105 14453 18202 21065 3039 137 12875 12545 20965 10467 6235 18695 10791 13878 3309 1567 4041 21502 17119 3572 20503 2692 21765 3437 20428 10382 22217 12345 18785 10563 2752 867 13531 19570 4076 4538 21539 17711 5667 17497
299.0,0.02127659574468085,23751,299,15605 4335 16411 3369 1120 16065 18028 3961 15060 14617 2352 11958 8447 15873 5303 9558 16121 20686 9136 15929 14007 19457 13760 15284 16335 12262 17151 800 10329 6269 13919 3953 13951 13065 5983 19029 18804 19370 12712 2620 4240 20396 14304 4824 8554 17707 2739 9746 21376 10722 17712 19037 19279 3011 9268 4208 21668 20490 5801 18384 14942 2917 5559 186 9877 9436 2606 19933 6458 13118 17974 4007 1020 4892 20533 18402 13456 1379 4679 6424 14933 11983 16782 6647 20990 13656 5712 7479 12733 15787 17085 12938 7375 18659 2876 19246 18509 13142 13143 1231 11603 8521 17412 6923 8297 5524 12589 1693 22380 3929 12582 10811 18595 11309 14263 10243 20300 639 20666 5301 20820 2357 2868 1136 12543 14147 8650 10174 15145 20152 14649 3108 1168 22321 11223 18295 1203 14755 9376 768 11141 3915 11339 17901 22066 10581 11108 3718 13043 10497 11310 9357 17550 14958 4089 8630 8955 10981 5970 19197 15822 1199 260 10630 16191 5000 3314 13045 12062 13056 827 2936 20045 15717 17920 2869 40 11040 21133 13963 14810 11779 6981 19449 17187 886 16657 20883 103 4526 17661 13171 17262 12890 18202 2308 5196 19962 8202 9890 14494 3291 235 266 3039 3389 6519 10467 21065 14453 4105 10910 1355 137 11874 2182 13284 645 1637 1871 4491 7329 1543 12875 21870 20964 7039 2752 13531 15838 8363 4041 1567 19459 10791 16860 16953 17711 18695 3367 5130 17793 11267 21332 6434 9027 21765 7662 4868 13878 17119 5328 10073 12545 10382 10563 867 20428 2692 6235 3437 20965 3309 22217 15527 3572 20503 18785 21502 3267 19570 12345 21709 21539 208 5667 17497 441 4076 668 7501 8520 4538 12741 6148 11284 18572 798 11563 21965 1268 8887 21959 1994 16683 2677 10958 16132 8227
326.0,0.018641810918774968,25135,326,19370 9268 20396 3267 19279 9558 9136 15929 19037 20490 186 5983 18695 19933 21668 3011 20686 12262 10382 3953 13951 12712 16065 19029 10563 13065 4824 6269 16132 2620 16121 14933 16411 6148 18572 15873 17151 13919 2739 8227 441 2677 5303 3961 15284 19457 800 4335 18804 1120 11958 13760 798 4240 15605 4208 17707 15060 2352 5801 8887 17712 9746 21376 10722 13171 14007 14617 14942 8447 14304 10329 11563 8520 9877 3369 13656 11284 8554 5559 18028 2917 18384 7727 18478 16137 7375 1020 261 4704 357 3557 12194 17711 22217 12795 13349 17974 2606 1423 17412 8949 9436 265 6458 2752 6981 13531 7334 6424 13142 10467 16782 20533 3122 13118 4007 4892 16335 9947 3202 13143 11603 4679 6403 6647 5712 1379 1231 13456 7479 11983 12938 22380 18402 18659 12582 3929 19246 10811 18509 8521 17085 9584 12589 20990 10174 20820 2876 10243 5524 20666 1168 12733 1693 14263 14147 2791 4134 14755 1136 20152 20300 17661 18595 2868 3915 9357 5301 3108 8650 15588 11108 10497 6923 4089 11309 2357 11223 7743 11141 18295 22321 768 11339 827 10581 22066 8955 3718 11310 10791 14958 17901 2936 1203 8630 19197 1199 17550 12543 15145 13043 11040 5000 15717 13056 16191 5970 13045 10981 12062 3314 11874 15822 40 9376 10630 20045 8297 21133 2869 1567 17920 13963 11779 20883 18202 886 16657 260 14810 639 103 12890 12875 4041 17262 17187 14649 19449 5196 3291 15787 2308 3039 14494 266 963 10160 19962 8202 21065 4105 235 3389 4526 17119 137 14453 6519 13878 10910 1355 2182 2692 20428 1637 3437 12545 3309 20503 3572 6235 4491 20965 21709 867 18785 19570 21765 19435 12345 8363 5667 17497 21502 9890 668 4076 12741 645 4538 1871 13284 5130 17793 7329 1543 1268 6434 11267 3367 10958 7501 10073 5328 208 21539 16860 4868 21870 20964 7039 15838 21965 19459 15527 1994 21959 16683 16953 21508 21332 7662 9027
339.0,0.026675341574495772,9710,339,13456 12733 8297 16335 1693 5301 14263 19246 9436 8521 4105 11141 8554 4041 20666 11779 18202 260 21508 1567 21539 21709 3039 18028 10791 867 13919 12890 21065 137 17119 14617 12712 17151 21765 14453 2352 20396 1120 6458 17262 15605 11958 4007 2917 3961 5559 17707 17712 21376 10722 9746 4824 14942 13951 1020 19457 19279 3011 266 15929 19037 16411 12262 16121 15284 5303 4335 15873 13065 3953 17974 9558 13760 208 3389 16065 3291 18804 20686 11874 19029 21668 9136 20490 5983 6269 4240 15060 2739 20533 3369 14007 19370 9268 14304 2620 800 4208 16782 8520 9877 5801 186 10329 11284 12938 10910 22217 7479 19933 235 18509 1231 18659 14933 8447 13656 1355 1379 6519 11309 11983 10467 12543 18384 7375 19197 5970 3915 2606 3309 17550 8887 20503 3572 6424 13118 2752 13531 17412 827 17711 20820 5000 5524 4892 5712 18785 19717 13142 20990 17661 14755 798 441 6647 10174 18402 6981 6148 18478 22380 3267 768 4679 19570 12545 12589 18733 18572 14147 3108 4526 3314 2677 8650 2868 11040 11603 16132 11108 40 11339 7501 10497 22321 20152 20300 10243 10581 17901 2357 12062 22066 13963 13143 15717 9357 1136 9376 1199 20045 16657 11310 11223 3718 103 6923 1168 15822 1203 20883 18295 14958 13043 13045 8955 18595 16191 10981 8630 13056 10630 17920 4089 21133 15145 2869 2936 14810 8227 13171 886 11563 17085 17187 19449 21965 12582 3929 10811 20816 21959 1994 2876 16683 18695 12875 5196 639 12795 12345 2308 14649 1423 14494 19962 8202 6235 7727 10382 13349 10563 16137 2182 3557 4704 357 261 265 1637 4134 13878 4076 12194 7334 7225 15787 20965 4538 20428 8949 2692 3437 3122 3001 3202 9947 4491 7743 6403 668 5667 9584 17497 12741 2791 8363 963 21502 15588 10160 1268 2184 1152 10958 814 16471 12156 9890 5130 17793 12466 8946 645 6434 11267 10073 20453 5328 1871 3367 4890 4868 13284 1543 16860 7329 15527 21870 20964 5770 7039 15838 19435 7294 19459 16953
375.0,0.04857142857142857,28426,375,913 5083 19418 15637 1568 8584 3776 6612 10194 21023 20756 4840 20398 2007 10304 3693 21598 15596 11587 1457 15738 19838 15269 104 8547 19209 15103 16346 13783 22301 16333 17277 310 11208 14901 12440 8376 13755 21969 21298 15343 6851 17350 18916 4520 12559 7530 10057 10458 22355 17090 393 4074 795 17754 5570 9098 16578 12972 21143 19115 19677 9574 22134 4323 12886 7523 21484 16013 4362 8281 1722 6856 14450 12878 11884 2786 15387 16096 14664 4766 5261 14012 13599 3937 17651 809 20705 12990 5613 8620 1760 13076 7003 14260 15646 10095 6713 6935 10806 17768 19663 13352 20261 10016 18108 31 19698 13716 5476 15776 14686 9083 12189 15390 7188 3236 15642 9527 12027 19530 12087 20155 6496 19259 18318 5344 10731 19907 18019 21932 14714 20724 9779 2589 18462 12416 20004 19044 21850 12470 8490 793 21116 13393 3071 12182 16881 7508 9933 6267 2349 13762 2727 987 5111 8865 3266 11180 1606 19426 7421 10147 21448 3956 5519 589 21527 20266 12256 54 3474 12542 18386 12462 21829 10846 8137 5049 17698 12583 16039 6203 19526 5673 14284 1408 8941 30 16625 11604 15867 16078 14237 8119 13102 14100 21233 17625 4908 3178 6788 16257 9060 6358 2449 8463 9224 11335 9961 14310 12884 19184 7942 16334 7642 17461 332 3170 3028 16641 7673 244 12336 5629 10469 1627 1978 6632 14370 15558 14930 22192 13067 15005 18727 13748 14102 20068 4162 3049 16780 15514 14844 15150 14990 9990 3835 15507 9471 14509 13747 6791 5488 6301 10639 9228 9049 1985 13698 16675 14218 21924 11740 9897 14402 6420 15586 7842 974 13756 14521 8249 894 8498 16796 17006 3694 21946 15117 176 353 10481 3061 20031 3575 7093 17190 11645 3861 12290 12092 8827 15046 3934 15 7308 20568 9301 18689 2625 1292 19590 7219 4250 6230 6751 4905 17856 8537 19545 12226 12808 17130 1101 11877 16396 10032 6128 13807 4470 11030 16488 19955 18612 5258 3194 16892 20463 18103 8429 18077 19440 19202 16529 19069 17239 7274 19324 3804 10491 21562 21402 537 9002 2740 13657 4382 14269 19047 12768 10306 17178 21730 9600 18789 16450 4588 10787 3052 10483 13863 7179 17466 116 3807 1010 5446 1380 14291 6479 12005 385 19928 9951
