#
# Graph: facebook_combined.txt -> facebook_combined facebook_combined. A=0.001, K=1000-1.5-100M, Cvr=4500, SzFrc=0.001 G(3698, 85963) (Mon Sep 29 17:49:35 2025)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (3698, 85963)
986	0.00291703
987	0.0027964
1000	0.0028989
1012	0.00271417
1024	0.00221557
1029	0.0022293
1037	0.0023464
1057	0.00169628
1063	0.00127877
1068	0.00167863
1079	0.00261035
1090	0.00457013
1101	0.00600125
1112	0.00682113
1123	0.00861561
1134	0.0107857
1150	0.0114811
1167	0.0112499
1179	0.0105503
1191	0.00972249
1203	0.00862526
1215	0.00780211
1226	0.00727546
1237	0.00714126
1241	0.00693318
1254	0.00728286
1277	0.005323
1285	0.00485506
1296	0.00459514
1315	0.00455155
1324	0.00413557
1330	0.00434149
1343	0.00463707
1356	0.00514151
1370	0.00639199
1384	0.00749368
1397	0.00965151
1420	0.0111881
1430	0.011325
1449	0.0115639
1460	0.0117437
1477	0.0122018
1483	0.0124198
1498	0.0132282
1513	0.0156645
1528	0.0164948
1547	0.0173993
1559	0.0212225
1575	0.0234179
1590	0.0248219
1606	0.0271561
1623	0.0288264
1653	0.0284001
1670	0.0284415
1676	0.0279182
1688	0.0294637
1721	0.0291666
1738	0.0225768
1756	0.0123489
1773	0.00889724
1791	0.00865777
1809	0.00768132
1827	0.00534989
1845	0.00394274
1864	0.00317113
1865	0.00303587
1883	0.0035925
1902	0.0049486
1921	0.00663679
1940	0.00966607
1961	0.0140728
1979	0.0187222
2002	0.0193623
2019	0.0205542
2039	0.0227747
2060	0.0250326
2084	0.0260705
2103	0.0279734
2123	0.0287019
2152	0.0309298
2165	0.0315533
2186	0.0323541
2214	0.0328221
2246	0.032472
